Analizing File:  DynaLoader.c
        2.02 real         0.34 user         0.01 sys
        1.95 real         0.33 user         0.01 sys
        1.95 real         0.33 user         0.01 sys
        1.95 real         0.32 user         0.01 sys
Analizing File:  perl.c
        3.25 real         0.51 user         0.01 sys
        3.34 real         0.51 user         0.01 sys
        3.25 real         0.52 user         0.01 sys
        3.27 real         0.51 user         0.01 sys
        3.27 real         0.51 user         0.01 sys
        3.18 real         0.50 user         0.01 sys
        5.23 real         0.50 user         0.01 sys
        3.25 real         0.53 user         0.01 sys
        3.20 real         0.50 user         0.01 sys
        3.19 real         0.49 user         0.01 sys
Analizing File:  perlapi.c
        1.09 real         0.03 user         0.00 sys
        1.04 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
        1.06 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
        1.05 real         0.03 user         0.00 sys
        1.04 real         0.03 user         0.00 sys
        1.03 real         0.03 user         0.00 sys
        1.14 real         0.03 user         0.00 sys
Analizing File:  perlio.c
        2.44 real         0.51 user         0.01 sys
        2.51 real         0.51 user         0.01 sys
        2.67 real         0.56 user         0.01 sys
        2.52 real         0.50 user         0.01 sys
        2.70 real         0.53 user         0.01 sys
        2.93 real         0.57 user         0.02 sys
        2.61 real         0.53 user         0.01 sys
        2.55 real         0.52 user         0.01 sys
        2.55 real         0.52 user         0.01 sys
        2.55 real         0.52 user         0.01 sys
Analizing File:  perlmain.c
        1.12 real         0.04 user         0.01 sys
        1.18 real         0.04 user         0.00 sys
        1.12 real         0.04 user         0.01 sys
        1.14 real         0.04 user         0.01 sys
        1.10 real         0.04 user         0.01 sys
        1.10 real         0.04 user         0.01 sys
        1.12 real         0.04 user         0.01 sys
        1.12 real         0.04 user         0.01 sys
        1.15 real         0.04 user         0.01 sys
        1.12 real         0.04 user         0.01 sys
Analizing File:  perly.c
        2.59 real         0.62 user         0.01 sys
        2.59 real         0.62 user         0.01 sys
        2.60 real         0.62 user         0.01 sys
        2.59 real         0.62 user         0.01 sys
        2.60 real         0.63 user         0.01 sys
        2.58 real         0.62 user         0.01 sys
        2.63 real         0.63 user         0.01 sys
        2.58 real         0.62 user         0.01 sys
        2.63 real         0.62 user         0.01 sys
        2.68 real         0.64 user         0.01 sys
Analizing File:  pp.c
        2.61 real         0.02 user         0.00 sys
        2.69 real         0.02 user         0.00 sys
        2.60 real         0.02 user         0.00 sys
        2.61 real         0.02 user         0.00 sys
        2.62 real         0.02 user         0.00 sys
        2.65 real         0.03 user         0.00 sys
        2.61 real         0.02 user         0.00 sys
        2.61 real         0.02 user         0.00 sys
        2.74 real         0.02 user         0.00 sys
        2.58 real         0.02 user         0.00 sys
Analizing File:  pp_ctl.c
        5.43 real         2.05 user         0.02 sys
        5.45 real         2.06 user         0.02 sys
        5.61 real         2.13 user         0.03 sys
        5.46 real         2.04 user         0.02 sys
        5.48 real         2.08 user         0.03 sys
        5.41 real         2.05 user         0.02 sys
        5.49 real         2.11 user         0.03 sys
        5.52 real         2.08 user         0.02 sys
        5.41 real         2.04 user         0.02 sys
        5.43 real         2.06 user         0.03 sys
Analizing File:  pp_hot.c
        3.79 real         1.17 user         0.02 sys
        3.81 real         1.17 user         0.02 sys
        3.78 real         1.17 user         0.02 sys
        3.77 real         1.16 user         0.02 sys
        3.76 real         1.16 user         0.02 sys
        3.75 real         1.16 user         0.02 sys
        3.85 real         1.23 user         0.02 sys
        3.77 real         1.17 user         0.02 sys
        3.77 real         1.16 user         0.02 sys
        3.76 real         1.16 user         0.02 sys
Analizing File:  pp_pack.c
        7.93 real         5.67 user         0.03 sys
        8.12 real         5.81 user         0.06 sys
        7.80 real         5.66 user         0.03 sys
        7.97 real         5.68 user         0.05 sys
        7.66 real         5.60 user         0.02 sys
        7.84 real         5.75 user         0.02 sys
        7.70 real         5.63 user         0.02 sys
        7.73 real         5.67 user         0.02 sys
        7.69 real         5.61 user         0.02 sys
        7.84 real         5.72 user         0.03 sys
Analizing File:  pp_sort.c
        1.26 real         0.02 user         0.00 sys
        1.27 real         0.02 user         0.00 sys
        1.27 real         0.02 user         0.00 sys
        1.26 real         0.02 user         0.00 sys
        1.28 real         0.02 user         0.00 sys
        1.30 real         0.02 user         0.00 sys
        1.31 real         0.02 user         0.00 sys
        1.47 real         0.02 user         0.03 sys
        1.31 real         0.02 user         0.00 sys
        1.27 real         0.02 user         0.00 sys
Analizing File:  pp_sys.c
        3.60 real         0.98 user         0.02 sys
        3.51 real         0.88 user         0.04 sys
        3.54 real         0.89 user         0.04 sys
        3.42 real         0.87 user         0.01 sys
        3.45 real         0.88 user         0.04 sys
        3.44 real         0.89 user         0.01 sys
        3.45 real         0.87 user         0.03 sys
        3.46 real         0.88 user         0.02 sys
        3.42 real         0.88 user         0.02 sys
        3.43 real         0.87 user         0.01 sys
Analizing File:  reentr.c
        1.05 real         0.03 user         0.00 sys
