FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
SDL_blendline.c,SDL_BlendLine_RGBA4-32,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-75,"set(['217', '504', '503', '185'])",set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-68,"set(['217', '504', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-67,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-66,"set(['217', '504', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-65,"set(['217', '504', '143', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-64,"set(['217', '504', '143', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-63,"set(['217', '504', '503', '143'])",set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-62,"set(['217', '504', '503', '143'])",set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-61,"set(['217', '504', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-91,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-85,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-84,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-87,"set(['340', '504', '502', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-86,"set(['502', '504', '340', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-81,"set(['217', '504', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-80,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-83,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-82,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-89,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB565-88,"set(['502', '504', '340', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-40,"set(['504', '110'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB888-40,"set(['504', '110', '78'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB4-68,"set(['217', '504', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGBA4-42,"set(['504', '110', '78'])",set([])
SDL_blendline.c,SDL_BlendLine_ARGB8888-39,"set(['504', '110'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB555-42,"set(['504', '110', '78'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB555-43,"set(['504', '110', '78'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB555-40,"set(['504', '110', '78'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB555-41,"set(['504', '110', '78'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB555-46,"set(['504', '110'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB555-47,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB555-44,"set(['504', '110'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB555-45,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB555-48,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB555-49,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB2-54,"set(['217', '504', '503'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB2-55,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB2-56,"set(['504', '502', '503', '501'])",set([])
SDL_blendline.c,SDL_BlendLine_RGB2-57,"set(['504', '502', '503', '501'])",set([])
